"External ID","Name","State","Country","Zip"
"__export__.res_city_19015_9ae0d7f8","17 DE AGOSTO","base.state_ar_b","base.ar","812901"
"__export__.res_city_19014_62b285fe","1° DE MAYO","base.state_ar_e","base.ar","326301"
"__export__.res_city_19016_5fb8d4e8","2 DE MAYO","base.state_ar_n","base.ar","333700"
"__export__.res_city_19017_b77fcf9a","25  DE MAYO","base.state_ar_b","base.ar","666000"
"__export__.res_city_19019_dffaf31c","25 DE MAYO","base.state_ar_n","base.ar","336500"
"__export__.res_city_19018_64a4e553","25 DE MAYO","base.state_ar_n","base.ar","332801"
"__export__.res_city_19020_79e9e76b","25 DE MAYO","base.state_ar_n","base.ar","337900"
"__export__.res_city_19021_67165d36","25 DE MAYO- BCO LOC","base.state_ar_b","base.ar","666001"
"__export__.res_city_19022_c0f6b84c","28 DE JULIO","base.state_ar_u","base.ar","910701"
"__export__.res_city_19023_59529ba0","28 DE NOVIEMBRE","base.state_ar_z","base.ar","940702"
"__export__.res_city_19024_44eb3c3d","9 DE ABRIL","base.state_ar_b","base.ar","177600"
"__export__.res_city_19025_a8703330","9 DE JULIO","base.state_ar_n","base.ar","338001"
"__export__.res_city_19026_b7aa217d","9 DE JULIO","base.state_ar_w","base.ar","344505"
"__export__.res_city_19027_e3612050","9 DE JULIO","base.state_ar_j","base.ar","541700"
"__export__.res_city_19028_69ef0bf1","9 DE JULIO","base.state_ar_b","base.ar","650000"
"__export__.res_city_19029_714dab0e","A SAN ANTONIO","base.state_ar_e","base.ar","282700"
"__export__.res_city_19030_7b25b6f2","A. GRACIA/MERIDIONAL","","base.ar","518601"
"__export__.res_city_19031_01f83142","AARON CASTELLANOS","base.state_ar_s","base.ar","610502"
"__export__.res_city_19032_768d893f","ABASTO","","base.ar","400400"
"__export__.res_city_19033_a20eb8da","ABASTO - LA PLATA","base.state_ar_b","base.ar","190300"
"__export__.res_city_19034_2180e0ca","ABILENE","","base.ar","580002"
"__export__.res_city_19035_69903692","ABRA PAMPA","base.state_ar_y","base.ar","464000"
